3294,libufe-xidgetter0,3.0.0+14.04.20140416-0ubuntu1.14.04.1,2762
3302,libunity-gtk-parser-dev-common,0.0.0+14.04.20141212-0ubuntu1,12690
3317,libvdpau-doc,0.7-1ubuntu0.1,359034
3321,libvirt-doc,1.2.2-0ubuntu13.1.27,1059082
3336,libvte-2.90-common,1:0.34.9-1ubuntu2,23982
3338,libvte-2.90-doc,1:0.34.9-1ubuntu2,61160
3373,libwebkitgtk-1.0-common,2.4.10-0ubuntu0.14.04.1,107664
3376,libwebkitgtk-3.0-common,2.4.10-0ubuntu0.14.04.1,107544
3378,libwebkitgtk-common-dev,2.4.10-0ubuntu0.14.04.1,62370
3385,libwmf-doc,0.2.8.4-10.3ubuntu1.14.04.1,216016
3389,libwnck-3-common,3.4.7-0ubuntu3.1,18826
3393,libx11-data,2:1.6.2-1ubuntu2.1,111464
3395,libx11-doc,2:1.6.2-1ubuntu2.1,1447386
3463,libxext-doc,2:1.3.2-1ubuntu0.0.14.04.1,56110
3479,libxml2-doc,2.9.1+dfsg1-3ubuntu4.13,803404
3507,libzeitgeist-2.0-doc,0.9.14-0ubuntu4.1,59878
4176,linux-doc,3.13.0-100.147,8261882
4177,linux-doc,3.13.0-101.148,8334794
4178,linux-doc,3.13.0-103.150,8246690
4179,linux-doc,3.13.0-105.152,8293906
4180,linux-doc,3.13.0-106.153,8321148
4181,linux-doc,3.13.0-107.154,8332926
4182,linux-doc,3.13.0-108.155,8343932
4183,linux-doc,3.13.0-109.156,8313076
4184,linux-doc,3.13.0-110.157,8282166
4185,linux-doc,3.13.0-112.159,8319912
4186,linux-doc,3.13.0-113.160,8277636
4187,linux-doc,3.13.0-115.162,8314836
4188,linux-doc,3.13.0-116.163,8329444
4189,linux-doc,3.13.0-117.164,8267770
4190,linux-doc,3.13.0-119.166,8308530
4191,linux-doc,3.13.0-121.170,8279764
4192,linux-doc,3.13.0-123.172,8270882
4193,linux-doc,3.13.0-125.174,8329070
4194,linux-doc,3.13.0-126.175,8336722
4195,linux-doc,3.13.0-128.177,8320296
4196,linux-doc,3.13.0-129.178,8258358
4197,linux-doc,3.13.0-132.181,8341104
4198,linux-doc,3.13.0-133.182,8321160
4199,linux-doc,3.13.0-135.184,8288326
4200,linux-doc,3.13.0-137.186,8313814
4201,linux-doc,3.13.0-139.188,8315832
4202,linux-doc,3.13.0-141.190,8316374
4203,linux-doc,3.13.0-142.191,8317918
4204,linux-doc,3.13.0-143.192,8319310
4205,linux-doc,3.13.0-144.193,8320364
4206,linux-doc,3.13.0-145.194,8253070
4207,linux-doc,3.13.0-147.196,8350602
4208,linux-doc,3.13.0-149.199,8317420
4209,linux-doc,3.13.0-151.201,8320136
4210,linux-doc,3.13.0-153.203,8371424
4211,linux-doc,3.13.0-155.205,8380412
4212,linux-doc,3.13.0-156.206,8380058
4213,linux-doc,3.13.0-157.207,8381762
4214,linux-doc,3.13.0-158.208,8380756
4215,linux-doc,3.13.0-24.47,7974686
4216,linux-doc,3.13.0-27.50,7871804
4217,linux-doc,3.13.0-29.53,7905486
4218,linux-doc,3.13.0-30.55,7974504
4219,linux-doc,3.13.0-32.57,7979194
4220,linux-doc,3.13.0-33.58,7957896
4221,linux-doc,3.13.0-34.60,7976970
4222,linux-doc,3.13.0-35.62,7989506
4223,linux-doc,3.13.0-36.63,7923924
4224,linux-doc,3.13.0-37.64,8001478
4225,linux-doc,3.13.0-39.66,7999632
4226,linux-doc,3.13.0-40.69,7900610
4227,linux-doc,3.13.0-41.70,7976026
4228,linux-doc,3.13.0-43.72,7975684
4229,linux-doc,3.13.0-44.73,8010494
4230,linux-doc,3.13.0-45.74,7937340
4231,linux-doc,3.13.0-46.79,7964714
4232,linux-doc,3.13.0-48.80,7886092
4233,linux-doc,3.13.0-49.83,7928304
4234,linux-doc,3.13.0-51.84,7925878
4235,linux-doc,3.13.0-52.86,7881484
4236,linux-doc,3.13.0-53.89,7983672
4237,linux-doc,3.13.0-54.91,7935432
4238,linux-doc,3.13.0-55.94,8003074
4239,linux-doc,3.13.0-57.95,7997898
4240,linux-doc,3.13.0-58.97,7873606
4241,linux-doc,3.13.0-59.98,7932846
